text1,text2,label,category
"Blockchain is a distributed ledger technology that records transactions across a network of computers in a way that is secure, transparent, and immutable.","Blockchain is a distributed ledger technology that records transactions across a network of computers in a way that is secure, transparent, and immutable.",1,cut
"The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.","Bull markets, bear markets, and market corrections reflect the collective psychology of investors responding to economic data and geopolitical events.",1,near
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","Peer review, replication studies, and meta-analyses form the quality-control mechanisms that distinguish robust scientific knowledge from speculation.",1,near
"Antibiotic resistance occurs when bacteria evolve mechanisms to defeat the drugs designed to kill them, making infections harder to treat.",The overuse of broad-spectrum antibiotics in agriculture and clinical settings has accelerated the global spread of multidrug-resistant organisms.,1,near
"Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.",NLP bridges the gap between human communication and machine comprehension by applying statistical and deep learning models to text and speech data.,1,heavy
"Renewable energy comes from naturally replenished sources such as sunlight, wind, rain, tides, and geothermal heat that are virtually inexhaustible.","Renewable energy comes from naturally replenished sources such as sunlight, wind, rain, tides, and geothermal heat that are virtually inexhaustible.",1,cut
"Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.","Drawing inspiration from biological synaptic connections, artificial neural networks stack layers of mathematical nodes to extract hierarchical features from data.",1,heavy
Plate tectonics is the theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of Earth's lithosphere.,Plate tectonics describes the large-scale movement of seven major tectonic plates and many smaller ones that make up Earth's lithosphere.,1,light
Mozart began composing music at age five and produced over 600 works during his brief 35-year life.,The human immune system distinguishes self from non-self to mount targeted defenses against invading pathogens.,0,none
"DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.",Genomic sequencing technologies have revolutionized medicine by enabling precise diagnosis of hereditary diseases and personalized treatment strategies.,1,near
"The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.","Mendeleev's periodic table arranges the known elements in a grid that reveals systematic trends in atomic radius, electronegativity, and reactivity.",1,heavy
"The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.","The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.",1,cut
"DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.","DNA, or deoxyribonucleic acid, is the molecule that carries genetic instructions for the development, functioning, growth and reproduction of living organisms.",1,light
"Blockchain is a distributed ledger technology that records transactions across a network of computers in a way that is secure, transparent, and immutable.","Decentralized finance platforms leverage smart contracts on public blockchains to offer lending, trading, and yield generation without intermediaries.",1,near
Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,Quantum mechanics is a core theory in physics describing the physical properties of nature at the atomic and subatomic level.,1,light
"Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.","Effective supply chain management synchronizes procurement, manufacturing, and distribution activities to maximize value while minimizing cost and waste.",1,heavy
Plate tectonics is the theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of Earth's lithosphere.,"The slow but relentless movement of lithospheric plates drives volcanic activity, earthquake occurrence, and the long-term reshaping of continents.",1,heavy
Chocolate is derived from cacao beans that were first cultivated by the Olmec civilization in Mesoamerica.,Natural language processing models trained on internet-scale text corpora exhibit surprising emergent reasoning abilities.,0,none
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","Megacity growth strains water systems, transportation networks, and housing markets, demanding innovative governance and planning solutions.",1,near
"The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.","Through evaporation, condensation, and precipitation, Earth's water supply circulates continuously between the surface, atmosphere, and underground reservoirs.",1,heavy
"The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.","Originating in fourteenth-century Italy, the Renaissance intellectual revival fundamentally transformed European art, science, and philosophy.",1,heavy
Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,1,cut
"Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.",CBT is an evidence-based therapeutic modality that identifies and restructures maladaptive cognitive patterns to alleviate psychological distress.,1,heavy
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","Synaptic plasticity, mediated by neurotransmitters such as dopamine and serotonin, underlies learning, memory consolidation, and emotional regulation.",1,near
"The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.",The water cycle describes the continuous movement of water within the Earth and its atmosphere through processes like evaporation and precipitation.,1,light
Plate tectonics is the theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of Earth's lithosphere.,"Subduction zones, where one tectonic plate dives beneath another, generate the world's most powerful earthquakes and deepest ocean trenches.",1,near
Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,1,cut
"The theory of evolution by natural selection, proposed by Charles Darwin, explains how species adapt over generations through differential reproduction.","The theory of evolution by natural selection, proposed by Charles Darwin, explains how species adapt over generations through differential reproduction.",1,cut
"Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.",Convolutional neural networks excel at visual recognition tasks by learning spatial hierarchies of features through successive pooling and convolution layers.,1,near
Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,ML systems autonomously enhance their performance on tasks by extracting statistical patterns from training data rather than following hand-coded rules.,1,heavy
"The theory of evolution by natural selection, proposed by Charles Darwin, explains how species adapt over generations through differential reproduction.",Charles Darwin's theory of evolution by natural selection explains how species change over generations through differential reproduction and adaptation.,1,light
"Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.","Zero-day vulnerabilities, ransomware campaigns, and state-sponsored espionage represent escalating threats to global digital infrastructure.",1,near
"Antibiotic resistance occurs when bacteria evolve mechanisms to defeat the drugs designed to kill them, making infections harder to treat.","When bacteria acquire resistance genes or spontaneous mutations, standard antibiotic therapies fail, necessitating more toxic or expensive alternatives.",1,heavy
The Amazon River discharges approximately 20 percent of all freshwater entering the world's oceans.,Blockchain technology enables trustless peer-to-peer transactions by maintaining a distributed and immutable ledger.,0,none
"The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.",Transition metal complexes exhibit rich coordination chemistry because their d-orbitals can accommodate a wide variety of ligand geometries.,1,near
"The Tour de France is an annual multi-stage bicycle race held primarily in France, covering roughly 3,500 kilometres.",Renewable energy sources are becoming economically competitive with fossil fuels across many global markets.,0,none
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.","The Silk Road was an ancient trade route network connecting East and West, enabling exchange of goods, culture, and knowledge over many centuries.",1,light
The Eiffel Tower was designed by engineer Gustave Eiffel and completed in 1889 as the entrance arch for the World's Fair in Paris.,Machine learning algorithms improve performance by identifying statistical patterns in large training datasets without explicit programming.,0,none
"Blockchain is a distributed ledger technology that records transactions across a network of computers in a way that is secure, transparent, and immutable.","Blockchain is a distributed ledger that records transactions across many computers in a secure, transparent, and immutable manner.",1,light
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,Green plants harness solar energy to convert atmospheric carbon dioxide and water into organic compounds through the biochemical process of photosynthesis.,1,heavy
"Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.","Cybersecurity is the practice of defending systems, networks, and software from digital attacks intended to access, alter, or destroy sensitive data.",1,light
Coffee cultivation originated in Ethiopia and spread to Yemen before reaching Europe in the 17th century.,Quantum computing exploits superposition and entanglement to solve optimization problems exponentially faster.,0,none
"Renewable energy comes from naturally replenished sources such as sunlight, wind, rain, tides, and geothermal heat that are virtually inexhaustible.","Renewable energy is derived from naturally replenishing sources like sunlight, wind, rain, tides, and geothermal heat that are essentially limitless.",1,light
Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,The Heisenberg uncertainty principle states that the position and momentum of a particle cannot both be precisely determined at the same instant.,1,near
"The theory of evolution by natural selection, proposed by Charles Darwin, explains how species adapt over generations through differential reproduction.","Genetic variation within a population, combined with environmental selection pressure, drives speciation and the emergence of new biological traits.",1,near
"Blockchain is a distributed ledger technology that records transactions across a network of computers in a way that is secure, transparent, and immutable.","By distributing an append-only transaction ledger across a peer-to-peer network, blockchain achieves tamper-resistant record-keeping without central authority.",1,heavy
"The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.","The periodic table arranges chemical elements by atomic number, electron configuration, and repeating chemical properties in rows and columns.",1,light
"Yoga originated in ancient India and combines physical postures, breathing techniques, and meditation practices.",Blockchain smart contracts automate agreement execution without requiring trust between transacting parties.,0,none
Plate tectonics is the theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of Earth's lithosphere.,Plate tectonics is the theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of Earth's lithosphere.,1,cut
"The theory of evolution by natural selection, proposed by Charles Darwin, explains how species adapt over generations through differential reproduction.",Darwin's evolutionary framework demonstrates how populations undergo heritable changes across successive generations due to variation in reproductive success.,1,heavy
"Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.","Transformer-based large language models have dramatically improved machine translation, summarization, and question-answering benchmarks.",1,near
"Antibiotic resistance occurs when bacteria evolve mechanisms to defeat the drugs designed to kill them, making infections harder to treat.","Antibiotic resistance occurs when bacteria evolve mechanisms to defeat the drugs designed to kill them, making infections harder to treat.",1,cut
"Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.","Cognitive behavioral therapy is a psychotherapy approach that addresses problems by changing dysfunctional emotions, behaviors, and thoughts through structured procedures.",1,light
"Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.","Information security professionals employ firewalls, encryption, and intrusion detection to defend digital assets from unauthorized access and malicious exploitation.",1,heavy
The first successful powered airplane flight by the Wright Brothers took place at Kitty Hawk in 1903.,Antibiotic-resistant bacteria pose a major public health threat requiring coordinated global surveillance and response.,0,none
"Renewable energy comes from naturally replenished sources such as sunlight, wind, rain, tides, and geothermal heat that are virtually inexhaustible.","Solar panels, wind farms, hydroelectric dams, and geothermal plants harness naturally occurring energy flows that replenish on human timescales.",1,heavy
"The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.","The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.",1,cut
"DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.",The double-helix molecule known as DNA encodes hereditary information that directs every aspect of an organism's biological development and functioning.,1,heavy
"The Berlin Wall, erected in 1961 and demolished in 1989, physically divided East and West Germany for 28 years.",Cybersecurity professionals use ethical hacking and penetration testing to identify vulnerabilities before attackers do.,0,none
"Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.",Just-in-time manufacturing philosophies reduce inventory costs by synchronizing production schedules tightly with real-time customer demand signals.,1,near
Ancient Roman aqueducts transported water across hundreds of kilometers using only gravity and precise engineering.,Convolutional neural networks have revolutionized computer vision by learning hierarchical spatial features from image data.,0,none
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.",1,cut
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","The scientific method is a structured research approach involving observation, hypothesis formation, controlled experimentation, and conclusion drawing.",1,light
"The Great Barrier Reef is the world's largest coral reef system, stretching over 2,300 kilometres off Australia's coast.","Natural language processing enables machines to parse, understand, and generate human language at scale.",0,none
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","Science advances by formulating testable predictions, designing controlled experiments to evaluate them, and revising theories in light of empirical evidence.",1,heavy
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,1,cut
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.",1,cut
"The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.","The stock market is a set of exchanges where company shares are traded, reflecting investor trust in businesses and the wider economy.",1,light
"Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.","Supply chain management coordinates all activities involved in sourcing, procurement, conversion, and logistics to deliver products efficiently.",1,light
"Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.","Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.",1,cut
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.","Rising sea levels, intensifying hurricanes, and prolonged droughts are among the observable consequences of ongoing global warming trends.",1,near
"Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.","Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.",1,cut
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","As economic opportunity draws migrants from countryside to city, urban areas expand in population density, infrastructure complexity, and cultural diversity.",1,heavy
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,"IoT technology integrates sensors, actuators, and network connectivity into everyday objects, enabling automated data collection and remote control.",1,heavy
"DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.","DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.",1,cut
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,The Internet of Things describes a network of physical objects equipped with sensors and software that connect and share data via the internet.,1,light
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Vaccines work by teaching the immune system to identify and fight specific pathogens, offering protection from infectious diseases.",1,light
"Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.","Natural language processing is an area of artificial intelligence focused on enabling computers to understand, interpret, and produce human language.",1,light
"Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.","Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.",1,cut
"Antibiotic resistance occurs when bacteria evolve mechanisms to defeat the drugs designed to kill them, making infections harder to treat.","Antibiotic resistance happens when bacteria develop ways to survive the drugs meant to eliminate them, making infections increasingly difficult to treat.",1,light
Professional basketball players typically train six to eight hours daily to maintain peak athletic performance.,"Plate tectonics explains continental drift, mountain formation, and the distribution of earthquakes and volcanoes.",0,none
The Taj Mahal was commissioned by Mughal emperor Shah Jahan in memory of his wife Mumtaz Mahal in the 17th century.,The scientific method relies on controlled experimentation and peer review to build reliable empirical knowledge.,0,none
"Mount Everest, standing at 8,849 metres, is the highest point on Earth measured from sea level.","DNA sequencing has transformed forensic science, enabling precise identification of individuals from biological samples.",0,none
The invention of the printing press by Gutenberg around 1440 revolutionized the spread of knowledge across Europe.,Antibiotic resistance threatens to reverse decades of medical progress by rendering common infections untreatable.,0,none
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.",1,cut
"Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.",Mindfulness-based interventions complement traditional CBT by cultivating non-judgmental awareness of thoughts and sensations to reduce rumination.,1,near
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","Urbanization is the transformation of rural areas into urban ones through population increases, economic growth, and infrastructure development.",1,light
"The human skeleton consists of 206 bones that provide structural support, protect organs, and enable movement.","Supply chain disruptions can cascade across global markets, revealing the fragility of just-in-time production systems.",0,none
"Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.","Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.",1,cut
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,1,cut
"The Olympic Games were revived in Athens in 1896 after a hiatus of over 1,500 years since ancient Greece.",Plate tectonics is responsible for the formation of mountain ranges such as the Himalayas and the Andes.,0,none
"Shakespeare wrote 37 plays and 154 sonnets during the Elizabethan era, profoundly shaping the English language.","Urbanization is accelerating worldwide, with more than half the global population now living in cities.",0,none
Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,"At subatomic scales, quantum theory supplants classical physics, revealing that energy and matter exhibit both wave-like and particle-like characteristics.",1,heavy
"The deepest point in the ocean, the Challenger Deep in the Mariana Trench, reaches approximately 11 kilometres.",Stock market volatility reflects uncertainty about future corporate earnings and macroeconomic conditions.,0,none
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","Roughly 86 billion interconnected nerve cells form the structural basis of the human brain, enabling perception, reasoning, memory, and motor control.",1,heavy
Sushi originated as a method of preserving fish in fermented rice in Southeast Asia before evolving in Japan.,"Cognitive behavioral therapy restructures negative thought patterns to treat anxiety, depression, and phobias.",0,none
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.",Archaeological evidence from Dunhuang caves illuminates the rich artistic and religious exchanges that flourished along the ancient Silk Road.,1,near
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,"Smart home devices, wearable health trackers, and industrial sensors are rapidly expanding the ecosystem of internet-connected physical objects.",1,near
"Renewable energy comes from naturally replenished sources such as sunlight, wind, rain, tides, and geothermal heat that are virtually inexhaustible.",Offshore wind installations and utility-scale solar farms are achieving cost parity with fossil fuel generation in many electricity markets.,1,near
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,Photosynthesis is the process through which green plants and some other organisms use sunlight to produce nutrients from carbon dioxide and water.,1,light
"The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.","Equity markets aggregate the buying and selling decisions of millions of participants, producing prices that continuously update based on new information.",1,heavy
"The Mona Lisa, painted by Leonardo da Vinci between 1503 and 1519, is considered the world's most famous portrait.",Photosynthesis converts solar energy into chemical energy stored in glucose molecules within plant cells.,0,none
Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,"Deep learning algorithms, trained on massive labelled datasets, have achieved superhuman accuracy in image recognition and natural language tasks.",1,near
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.","For over a millennium, the Silk Road served as a transcontinental conduit for commerce, religion, technology, and artistic exchange between Asia and Europe.",1,heavy
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.","Climate change describes long-term changes in global temperatures and weather patterns, mainly caused by human activities that release greenhouse gases.",1,light
Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,Machine learning is a branch of artificial intelligence that allows systems to learn and improve from experience without explicit programming.,1,light
The speed of sound in air at room temperature is approximately 343 metres per second.,Vaccination campaigns have successfully eradicated smallpox and dramatically reduced polio incidence globally.,0,none
"Bees pollinate roughly one third of the food crops humans consume, making them essential to global food security.","The periodic table of elements organises matter by atomic structure, revealing trends in chemical behaviour.",0,none
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.","Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.",1,cut
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.",Anthropogenic greenhouse gas emissions are the principal driver of the accelerating long-term alterations in Earth's temperature and precipitation regimes.,1,heavy
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,"Chlorophyll molecules in plant chloroplasts capture light energy to drive the Calvin cycle, producing glucose from inorganic precursors.",1,near
"The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.","The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.",1,cut
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Immunization primes adaptive immunity by exposing individuals to attenuated pathogens or antigenic proteins, generating long-lasting protective responses.",1,heavy
"Honey never spoils due to its low moisture content, acidic pH, and natural hydrogen peroxide content.",The Internet of Things is rapidly expanding the attack surface for cybersecurity threats in homes and industry.,0,none
"The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.","Glacial retreat, aquifer depletion, and changing precipitation patterns are altering the availability and distribution of freshwater resources worldwide.",1,near
"Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.","Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.",1,cut
The human eye can distinguish approximately 10 million different colours through its cone photoreceptor cells.,Machine learning models are increasingly deployed in healthcare for early disease detection and drug discovery.,0,none
"The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.","The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.",1,cut
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","The human brain has around 86 billion neurons, each linked to thousands of others, creating a complex network responsible for all thinking functions.",1,light
"The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.","The Renaissance was an intellectual and cultural movement starting in Italy in the 14th century, marking the shift from the Middle Ages to the modern era.",1,light
"Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.","Artificial neural networks are computational systems modeled on the biological neural networks in animal brains, built to recognize patterns in data.",1,light
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Herd immunity thresholds, calculated from transmission rates, determine the vaccination coverage needed to prevent epidemic spread in a population.",1,near
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.",1,cut
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.","The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.",1,cut
"The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.",Northern Italian city-states such as Florence and Venice became hotbeds of artistic patronage and humanist scholarship during the fifteenth century.,1,near
